分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数
2123_すし,仙台市,12.0,209.0,242.0,33.0,3.62,39.77,0.91
2123_すし,伊丹市,0.0,,,,,,
2123_すし,佐世保市,0.0,,,,,,
2123_すし,佐賀市,12.0,339.0,352.0,13.0,1.24,13.69,0.83
2123_すし,八戸市,0.0,,,,,,
2123_すし,八王子市,0.0,,,,,,
2123_すし,函館市,0.0,,,,,,
2123_すし,前橋市,12.0,115.0,115.0,0.0,0.12,1.35,0.09
2123_すし,北九州市,0.0,,,,,,
2123_すし,千葉市,12.0,120.0,120.0,0.0,0.24,2.69,0.09
2123_すし,名古屋市,12.0,275.0,286.0,11.0,1.35,14.81,0.73
2123_すし,和歌山市,12.0,110.0,110.0,0.0,0.0,0.0,1.0
2123_すし,堺市,0.0,,,,,,
2123_すし,大分市,12.0,115.0,115.0,0.0,0.12,1.35,0.09
2123_すし,大津市,12.0,115.0,115.0,0.0,0.0,0.0,1.0
2123_すし,大阪市,12.0,115.0,115.0,0.0,0.0,0.0,1.0
2123_すし,奈良市,12.0,115.0,115.0,0.0,0.0,0.0,1.0
2123_すし,姫路市,0.0,,,,,,
2123_すし,宇部市,0.0,,,,,,
2123_すし,宇都宮市,12.0,272.0,283.0,11.0,1.04,11.42,0.57
2123_すし,宮崎市,12.0,214.0,220.0,6.0,0.79,8.73,0.65
2123_すし,富士市,0.0,,,,,,
2123_すし,富山市,12.0,410.0,420.0,10.0,1.26,13.85,0.76
2123_すし,小山市,0.0,,,,,,
2123_すし,山口市,12.0,460.0,541.0,81.0,9.18,100.96,0.71
2123_すし,山形市,12.0,155.0,155.0,0.0,0.0,0.0,1.0
2123_すし,岐阜市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,岡山市,12.0,200.0,205.0,5.0,0.47,5.19,0.57
2123_すし,川口市,0.0,,,,,,
2123_すし,川崎市,0.0,,,,,,
2123_すし,広島市,12.0,278.0,425.0,147.0,16.36,179.96,0.68
2123_すし,府中市,0.0,,,,,,
2123_すし,徳島市,12.0,120.0,120.0,0.0,0.24,2.69,0.09
2123_すし,所沢市,0.0,,,,,,
2123_すし,新潟市,12.0,187.0,198.0,11.0,1.38,15.23,0.76
2123_すし,日立市,0.0,,,,,,
2123_すし,旭川市,0.0,,,,,,
2123_すし,札幌市,12.0,269.0,281.0,12.0,1.34,14.77,0.67
2123_すし,東京都区部,12.0,197.0,229.0,32.0,2.76,30.31,0.78
2123_すし,東大阪市,0.0,,,,,,
2123_すし,松山市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,松本市,0.0,,,,,,
2123_すし,松江市,12.0,299.0,310.0,11.0,1.23,13.54,0.67
2123_すし,松阪市,0.0,,,,,,
2123_すし,枚方市,0.0,,,,,,
2123_すし,柏市,0.0,,,,,,
2123_すし,横浜市,12.0,295.0,356.0,61.0,1.64,18.04,0.03
2123_すし,水戸市,12.0,131.0,131.0,0.0,0.0,0.0,1.0
2123_すし,津市,12.0,253.0,253.0,0.0,0.12,1.35,0.09
2123_すし,浜松市,0.0,,,,,,
2123_すし,浦安市,0.0,,,,,,
2123_すし,熊本市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,熊谷市,0.0,,,,,,
2123_すし,甲府市,12.0,184.0,184.0,0.0,0.0,0.0,1.0
2123_すし,盛岡市,12.0,115.0,115.0,0.0,0.12,1.35,0.09
2123_すし,相模原市,0.0,,,,,,
2123_すし,神戸市,12.0,120.0,120.0,0.0,0.12,1.35,0.09
2123_すし,福井市,12.0,269.0,275.0,6.0,0.46,5.08,0.03
2123_すし,福山市,0.0,,,,,,
2123_すし,福岡市,12.0,110.0,110.0,0.0,0.0,0.0,1.0
2123_すし,福島市,12.0,176.0,176.0,0.0,0.0,0.0,1.0
2123_すし,秋田市,12.0,248.0,248.0,0.0,0.0,0.0,1.0
2123_すし,立川市,0.0,,,,,,
2123_すし,藤沢市,0.0,,,,,,
2123_すし,西宮市,0.0,,,,,,
2123_すし,豊橋市,0.0,,,,,,
2123_すし,那覇市,12.0,115.0,115.0,0.0,0.12,1.35,0.09
2123_すし,郡山市,0.0,,,,,,
2123_すし,金沢市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,長岡市,0.0,,,,,,
2123_すし,長崎市,12.0,154.0,165.0,11.0,1.04,11.42,0.57
2123_すし,長野市,12.0,118.0,118.0,0.0,0.12,1.35,0.09
2123_すし,青森市,12.0,399.0,414.0,15.0,1.59,17.5,0.86
2123_すし,静岡市,12.0,113.0,113.0,0.0,0.0,0.0,1.0
2123_すし,高松市,12.0,195.0,223.0,28.0,1.96,21.54,0.42
2123_すし,高知市,12.0,194.0,195.0,1.0,0.19,2.12,0.2
2123_すし,鳥取市,12.0,195.0,195.0,0.0,0.0,0.0,1.0
2123_すし,鹿児島市,12.0,237.0,264.0,27.0,1.89,20.77,0.42
2132天丼（外食）,さいたま市,12.0,1025.0,1050.0,25.0,3.06,33.65,0.73
2132天丼（外食）,京都市,12.0,1099.0,1283.0,184.0,20.02,220.19,0.92
2132天丼（外食）,今治市,0.0,,,,,,
2132天丼（外食）,仙台市,12.0,1150.0,1060.0,-90.0,-6.29,-69.23,0.35
2132天丼（外食）,伊丹市,0.0,,,,,,
2132天丼（外食）,佐世保市,0.0,,,,,,
2132天丼（外食）,佐賀市,12.0,886.0,1001.0,115.0,6.59,72.54,0.67
2132天丼（外食）,八戸市,0.0,,,,,,
2132天丼（外食）,八王子市,0.0,,,,,,
2132天丼（外食）,函館市,0.0,,,,,,
2132天丼（外食）,前橋市,12.0,1350.0,1367.0,17.0,1.6,17.65,0.57
2132天丼（外食）,北九州市,0.0,,,,,,
2132天丼（外食）,千葉市,12.0,858.0,873.0,15.0,1.05,11.54,0.42
2132天丼（外食）,名古屋市,12.0,1159.0,1205.0,46.0,5.44,59.85,0.75
2132天丼（外食）,和歌山市,12.0,1184.0,1210.0,26.0,2.06,22.69,0.58
2132天丼（外食）,堺市,0.0,,,,,,
2132天丼（外食）,大分市,12.0,1043.0,1060.0,17.0,1.78,19.54,0.76
2132天丼（外食）,大津市,12.0,1023.0,1060.0,37.0,1.42,15.65,0.23
2132天丼（外食）,大阪市,12.0,930.0,1023.0,93.0,3.7,40.69,0.28
2132天丼（外食）,奈良市,12.0,772.0,849.0,77.0,8.49,93.42,0.73
2132天丼（外食）,姫路市,0.0,,,,,,
2132天丼（外食）,宇部市,0.0,,,,,,
2132天丼（外食）,宇都宮市,12.0,1183.0,1310.0,127.0,13.04,143.42,0.68
2132天丼（外食）,宮崎市,12.0,813.0,863.0,50.0,5.64,62.08,0.79
2132天丼（外食）,富士市,0.0,,,,,,
2132天丼（外食）,富山市,12.0,1343.0,1383.0,40.0,2.88,31.69,0.69
2132天丼（外食）,小山市,0.0,,,,,,
2132天丼（外食）,山口市,12.0,1110.0,1237.0,127.0,13.98,153.77,0.89
2132天丼（外食）,山形市,12.0,1417.0,1433.0,16.0,1.51,16.62,0.57
2132天丼（外食）,岐阜市,12.0,910.0,933.0,23.0,2.64,29.0,0.74
2132天丼（外食）,岡山市,12.0,860.0,846.0,-14.0,-1.71,-18.85,0.07
2132天丼（外食）,川口市,0.0,,,,,,
2132天丼（外食）,川崎市,0.0,,,,,,
2132天丼（外食）,広島市,12.0,1093.0,1103.0,10.0,0.55,6.08,0.52
2132天丼（外食）,府中市,0.0,,,,,,
2132天丼（外食）,徳島市,12.0,817.0,877.0,60.0,3.69,40.54,0.74
2132天丼（外食）,所沢市,0.0,,,,,,
2132天丼（外食）,新潟市,12.0,1147.0,1239.0,92.0,8.69,95.54,0.57
2132天丼（外食）,日立市,0.0,,,,,,
2132天丼（外食）,旭川市,0.0,,,,,,
2132天丼（外食）,札幌市,12.0,973.0,1010.0,37.0,2.43,26.73,0.68
2132天丼（外食）,東京都区部,12.0,1275.0,1356.0,81.0,9.0,99.0,0.83
2132天丼（外食）,東大阪市,0.0,,,,,,
2132天丼（外食）,松山市,12.0,856.0,926.0,70.0,7.65,84.12,0.84
2132天丼（外食）,松本市,0.0,,,,,,
2132天丼（外食）,松江市,12.0,882.0,960.0,78.0,9.3,102.35,0.86
2132天丼（外食）,松阪市,0.0,,,,,,
2132天丼（外食）,枚方市,0.0,,,,,,
2132天丼（外食）,柏市,0.0,,,,,,
2132天丼（外食）,横浜市,12.0,1270.0,1285.0,15.0,2.63,28.92,0.56
2132天丼（外食）,水戸市,12.0,1267.0,1333.0,66.0,7.38,81.23,0.67
2132天丼（外食）,津市,12.0,1133.0,1210.0,77.0,7.43,81.73,0.84
2132天丼（外食）,浜松市,0.0,,,,,,
2132天丼（外食）,浦安市,0.0,,,,,,
2132天丼（外食）,熊本市,12.0,1063.0,1148.0,85.0,5.44,59.85,0.74
2132天丼（外食）,熊谷市,0.0,,,,,,
2132天丼（外食）,甲府市,12.0,1093.0,1093.0,0.0,0.0,0.0,1.0
2132天丼（外食）,盛岡市,12.0,943.0,927.0,-16.0,-7.66,-84.31,0.32
2132天丼（外食）,相模原市,0.0,,,,,,
2132天丼（外食）,神戸市,12.0,1022.0,1042.0,20.0,1.37,15.08,0.2
2132天丼（外食）,福井市,12.0,1093.0,1093.0,0.0,0.0,0.0,1.0
2132天丼（外食）,福山市,0.0,,,,,,
2132天丼（外食）,福岡市,12.0,1164.0,1133.0,-31.0,-3.26,-35.81,0.12
2132天丼（外食）,福島市,12.0,1227.0,1286.0,59.0,7.06,77.69,0.84
2132天丼（外食）,秋田市,12.0,1110.0,1110.0,0.0,0.0,0.0,1.0
2132天丼（外食）,立川市,0.0,,,,,,
2132天丼（外食）,藤沢市,0.0,,,,,,
2132天丼（外食）,西宮市,0.0,,,,,,
2132天丼（外食）,豊橋市,0.0,,,,,,
2132天丼（外食）,那覇市,12.0,1054.0,1098.0,44.0,4.98,54.77,0.82
2132天丼（外食）,郡山市,0.0,,,,,,
2132天丼（外食）,金沢市,12.0,960.0,1070.0,110.0,10.86,119.46,0.72
2132天丼（外食）,長岡市,0.0,,,,,,
2132天丼（外食）,長崎市,12.0,963.0,993.0,30.0,3.36,36.92,0.67
2132天丼（外食）,長野市,12.0,1007.0,863.0,-144.0,-18.59,-204.54,0.65
2132天丼（外食）,青森市,12.0,869.0,877.0,8.0,0.9,9.85,0.67
2132天丼（外食）,静岡市,12.0,877.0,927.0,50.0,5.67,62.38,0.79
2132天丼（外食）,高松市,12.0,1100.0,1155.0,55.0,3.85,42.31,0.42
2132天丼（外食）,高知市,12.0,890.0,890.0,0.0,0.0,0.0,1.0
2132天丼（外食）,鳥取市,12.0,1284.0,1318.0,34.0,3.21,35.31,0.57
2132天丼（外食）,鹿児島市,12.0,1043.0,1133.0,90.0,7.37,81.08,0.78
2133カレーライス（外食）,さいたま市,12.0,733.0,748.0,15.0,1.46,16.04,0.69
2133カレーライス（外食）,京都市,12.0,903.0,942.0,39.0,3.07,33.81,0.72
2133カレーライス（外食）,今治市,12.0,733.0,750.0,17.0,1.6,17.65,0.57
2133カレーライス（外食）,仙台市,12.0,715.0,750.0,35.0,2.77,30.42,0.74
2133カレーライス（外食）,伊丹市,12.0,650.0,673.0,23.0,2.45,26.92,0.79
2133カレーライス（外食）,佐世保市,12.0,845.0,797.0,-48.0,-1.31,-14.42,0.1
2133カレーライス（外食）,佐賀市,12.0,694.0,718.0,24.0,1.51,16.62,0.64
2133カレーライス（外食）,八戸市,12.0,623.0,650.0,27.0,1.89,20.77,0.42
2133カレーライス（外食）,八王子市,12.0,808.0,841.0,33.0,4.04,44.42,0.73
2133カレーライス（外食）,函館市,12.0,770.0,923.0,153.0,13.88,152.69,0.89
2133カレーライス（外食）,前橋市,12.0,783.0,783.0,0.0,0.0,0.0,1.0
2133カレーライス（外食）,北九州市,12.0,805.0,835.0,30.0,3.36,36.92,0.67
2133カレーライス（外食）,千葉市,12.0,816.0,900.0,84.0,8.7,95.65,0.9
2133カレーライス（外食）,名古屋市,12.0,765.0,767.0,2.0,1.01,11.15,0.24
2133カレーライス（外食）,和歌山市,12.0,790.0,843.0,53.0,5.0,55.04,0.8
2133カレーライス（外食）,堺市,12.0,723.0,733.0,10.0,0.94,10.38,0.57
2133カレーライス（外食）,大分市,12.0,656.0,687.0,31.0,2.95,32.5,0.78
2133カレーライス（外食）,大津市,12.0,763.0,790.0,27.0,1.33,14.65,0.43
2133カレーライス（外食）,大阪市,12.0,769.0,789.0,20.0,1.78,19.54,0.78
2133カレーライス（外食）,奈良市,12.0,842.0,920.0,78.0,8.66,95.27,0.89
2133カレーライス（外食）,姫路市,12.0,909.0,909.0,0.0,0.0,0.0,1.0
2133カレーライス（外食）,宇部市,12.0,665.0,682.0,17.0,2.09,23.0,0.67
2133カレーライス（外食）,宇都宮市,12.0,806.0,843.0,37.0,4.52,49.77,0.83
2133カレーライス（外食）,宮崎市,12.0,832.0,899.0,67.0,7.17,78.92,0.82
2133カレーライス（外食）,富士市,12.0,827.0,860.0,33.0,3.12,34.27,0.57
2133カレーライス（外食）,富山市,12.0,860.0,911.0,51.0,5.64,62.0,0.83
2133カレーライス（外食）,小山市,12.0,762.0,779.0,17.0,1.19,13.08,0.42
2133カレーライス（外食）,山口市,12.0,841.0,841.0,0.0,0.0,0.0,1.0
2133カレーライス（外食）,山形市,12.0,827.0,895.0,68.0,6.23,68.58,0.88
2133カレーライス（外食）,岐阜市,12.0,828.0,890.0,62.0,6.09,67.0,0.87
2133カレーライス（外食）,岡山市,12.0,783.0,817.0,34.0,4.16,45.77,0.73
2133カレーライス（外食）,川口市,12.0,710.0,743.0,33.0,3.56,39.19,0.77
2133カレーライス（外食）,川崎市,12.0,750.0,763.0,13.0,1.64,18.0,0.76
2133カレーライス（外食）,広島市,12.0,873.0,923.0,50.0,5.01,55.12,0.73
2133カレーライス（外食）,府中市,12.0,890.0,940.0,50.0,4.35,47.81,0.69
2133カレーライス（外食）,徳島市,12.0,905.0,958.0,53.0,5.63,61.96,0.69
2133カレーライス（外食）,所沢市,12.0,877.0,890.0,13.0,1.23,13.5,0.57
2133カレーライス（外食）,新潟市,12.0,825.0,832.0,7.0,0.49,5.38,0.42
2133カレーライス（外食）,日立市,12.0,643.0,693.0,50.0,5.76,63.38,0.75
2133カレーライス（外食）,旭川市,12.0,763.0,797.0,34.0,3.21,35.31,0.57
2133カレーライス（外食）,札幌市,12.0,732.0,884.0,152.0,13.36,146.92,0.86
2133カレーライス（外食）,東京都区部,12.0,875.0,879.0,4.0,0.6,6.62,0.19
2133カレーライス（外食）,東大阪市,12.0,754.0,787.0,33.0,3.69,40.62,0.67
2133カレーライス（外食）,松山市,12.0,650.0,683.0,33.0,2.16,23.81,0.54
2133カレーライス（外食）,松本市,12.0,770.0,837.0,67.0,6.33,69.58,0.76
2133カレーライス（外食）,松江市,12.0,835.0,835.0,0.0,0.0,0.0,1.0
2133カレーライス（外食）,松阪市,12.0,731.0,815.0,84.0,3.23,35.54,0.41
2133カレーライス（外食）,枚方市,12.0,709.0,709.0,0.0,0.0,0.0,1.0
2133カレーライス（外食）,柏市,12.0,730.0,740.0,10.0,0.94,10.38,0.57
2133カレーライス（外食）,横浜市,12.0,800.0,789.0,-11.0,-1.45,-16.0,0.59
2133カレーライス（外食）,水戸市,12.0,653.0,653.0,0.0,0.0,0.0,1.0
2133カレーライス（外食）,津市,12.0,773.0,784.0,11.0,1.04,11.42,0.57
2133カレーライス（外食）,浜松市,12.0,658.0,675.0,17.0,2.14,23.54,0.76
2133カレーライス（外食）,浦安市,12.0,917.0,950.0,33.0,4.04,44.42,0.73
2133カレーライス（外食）,熊本市,12.0,757.0,773.0,16.0,0.62,6.77,0.23
2133カレーライス（外食）,熊谷市,12.0,773.0,783.0,10.0,0.94,10.38,0.57
2133カレーライス（外食）,甲府市,12.0,750.0,767.0,17.0,1.56,17.15,0.38
2133カレーライス（外食）,盛岡市,12.0,733.0,700.0,-33.0,-3.3,-36.27,0.2
2133カレーライス（外食）,相模原市,12.0,708.0,783.0,75.0,11.89,130.81,0.52
2133カレーライス（外食）,神戸市,12.0,733.0,813.0,80.0,5.03,55.31,0.63
2133カレーライス（外食）,福井市,12.0,892.0,1016.0,124.0,10.81,118.92,0.92
2133カレーライス（外食）,福山市,12.0,677.0,743.0,66.0,7.25,79.73,0.81
2133カレーライス（外食）,福岡市,12.0,779.0,815.0,36.0,3.4,37.38,0.57
2133カレーライス（外食）,福島市,12.0,770.0,803.0,33.0,4.15,45.69,0.76
2133カレーライス（外食）,秋田市,12.0,770.0,807.0,37.0,2.59,28.46,0.42
2133カレーライス（外食）,立川市,12.0,782.0,782.0,0.0,0.0,0.0,1.0
2133カレーライス（外食）,藤沢市,12.0,767.0,837.0,70.0,6.35,69.85,0.71
2133カレーライス（外食）,西宮市,12.0,690.0,701.0,11.0,0.21,2.31,0.01
2133カレーライス（外食）,豊橋市,12.0,893.0,987.0,94.0,6.63,72.96,0.75
2133カレーライス（外食）,那覇市,12.0,663.0,677.0,14.0,1.32,14.54,0.57
2133カレーライス（外食）,郡山市,12.0,833.0,833.0,0.0,0.0,0.0,1.0
2133カレーライス（外食）,金沢市,12.0,713.0,793.0,80.0,2.78,30.62,0.19
2133カレーライス（外食）,長岡市,12.0,767.0,833.0,66.0,6.23,68.54,0.57
2133カレーライス（外食）,長崎市,12.0,760.0,807.0,47.0,5.26,57.85,0.67
2133カレーライス（外食）,長野市,12.0,938.0,1022.0,84.0,9.65,106.15,0.31
2133カレーライス（外食）,青森市,12.0,717.0,750.0,33.0,4.04,44.42,0.73
2133カレーライス（外食）,静岡市,12.0,927.0,1033.0,106.0,12.52,137.77,0.81
2133カレーライス（外食）,高松市,12.0,710.0,937.0,227.0,20.48,225.27,0.57
2133カレーライス（外食）,高知市,12.0,770.0,777.0,7.0,0.66,7.27,0.57
2133カレーライス（外食）,鳥取市,12.0,700.0,783.0,83.0,6.91,76.04,0.77
2133カレーライス（外食）,鹿児島市,12.0,1088.0,1106.0,18.0,0.69,7.62,0.23
2134ぎょうざ（外食）,さいたま市,12.0,325.0,325.0,0.0,0.0,0.0,1.0
2134ぎょうざ（外食）,京都市,12.0,358.0,358.0,0.0,-0.31,-3.46,0.05
2134ぎょうざ（外食）,今治市,0.0,,,,,,
2134ぎょうざ（外食）,仙台市,12.0,340.0,323.0,-17.0,-1.19,-13.08,0.42
2134ぎょうざ（外食）,伊丹市,0.0,,,,,,
2134ぎょうざ（外食）,佐世保市,0.0,,,,,,
2134ぎょうざ（外食）,佐賀市,12.0,343.0,357.0,14.0,1.54,16.96,0.84
2134ぎょうざ（外食）,八戸市,0.0,,,,,,
2134ぎょうざ（外食）,八王子市,0.0,,,,,,
2134ぎょうざ（外食）,函館市,0.0,,,,,,
2134ぎょうざ（外食）,前橋市,12.0,370.0,381.0,11.0,1.38,15.23,0.76
2134ぎょうざ（外食）,北九州市,0.0,,,,,,
2134ぎょうざ（外食）,千葉市,12.0,340.0,346.0,6.0,0.23,2.54,0.23
2134ぎょうざ（外食）,名古屋市,12.0,354.0,343.0,-11.0,-2.42,-26.58,0.25
2134ぎょうざ（外食）,和歌山市,12.0,360.0,380.0,20.0,1.4,15.38,0.66
2134ぎょうざ（外食）,堺市,0.0,,,,,,
2134ぎょうざ（外食）,大分市,12.0,433.0,433.0,0.0,0.0,0.0,1.0
2134ぎょうざ（外食）,大津市,12.0,363.0,394.0,31.0,3.06,33.65,0.85
2134ぎょうざ（外食）,大阪市,12.0,330.0,338.0,8.0,0.58,6.42,0.46
2134ぎょうざ（外食）,奈良市,12.0,379.0,394.0,15.0,1.05,11.54,0.42
2134ぎょうざ（外食）,姫路市,0.0,,,,,,
2134ぎょうざ（外食）,宇部市,0.0,,,,,,
2134ぎょうざ（外食）,宇都宮市,12.0,297.0,303.0,6.0,0.23,2.54,0.23
2134ぎょうざ（外食）,宮崎市,12.0,380.0,380.0,0.0,-0.07,-0.81,0.09
2134ぎょうざ（外食）,富士市,0.0,,,,,,
2134ぎょうざ（外食）,富山市,12.0,432.0,432.0,0.0,0.0,0.0,1.0
2134ぎょうざ（外食）,小山市,0.0,,,,,,
2134ぎょうざ（外食）,山口市,12.0,359.0,359.0,0.0,0.0,0.0,1.0
2134ぎょうざ（外食）,山形市,12.0,509.0,509.0,0.0,0.0,0.0,1.0
2134ぎょうざ（外食）,岐阜市,12.0,413.0,376.0,-37.0,-4.87,-53.62,0.6
2134ぎょうざ（外食）,岡山市,12.0,353.0,377.0,24.0,1.68,18.46,0.7
2134ぎょうざ（外食）,川口市,0.0,,,,,,
2134ぎょうざ（外食）,川崎市,0.0,,,,,,
2134ぎょうざ（外食）,広島市,12.0,465.0,387.0,-78.0,-7.19,-79.08,0.52
2134ぎょうざ（外食）,府中市,0.0,,,,,,
2134ぎょうざ（外食）,徳島市,12.0,400.0,407.0,7.0,2.7,29.73,0.27
2134ぎょうざ（外食）,所沢市,0.0,,,,,,
2134ぎょうざ（外食）,新潟市,12.0,483.0,500.0,17.0,1.19,13.08,0.42
2134ぎょうざ（外食）,日立市,0.0,,,,,,
2134ぎょうざ（外食）,旭川市,0.0,,,,,,
2134ぎょうざ（外食）,札幌市,12.0,435.0,443.0,8.0,0.56,6.15,0.42
2134ぎょうざ（外食）,東京都区部,12.0,383.0,384.0,1.0,0.06,0.69,0.34
2134ぎょうざ（外食）,東大阪市,0.0,,,,,,
2134ぎょうざ（外食）,松山市,12.0,463.0,477.0,14.0,1.79,19.65,0.61
2134ぎょうざ（外食）,松本市,0.0,,,,,,
2134ぎょうざ（外食）,松江市,12.0,313.0,347.0,34.0,2.38,26.15,0.7
2134ぎょうざ（外食）,松阪市,0.0,,,,,,
2134ぎょうざ（外食）,枚方市,0.0,,,,,,
2134ぎょうざ（外食）,柏市,0.0,,,,,,
2134ぎょうざ（外食）,横浜市,12.0,472.0,485.0,13.0,1.17,12.88,0.77
2134ぎょうざ（外食）,水戸市,12.0,370.0,360.0,-10.0,-0.94,-10.38,0.22
2134ぎょうざ（外食）,津市,12.0,424.0,409.0,-15.0,-0.1,-1.15,0.0
2134ぎょうざ（外食）,浜松市,0.0,,,,,,
2134ぎょうざ（外食）,浦安市,0.0,,,,,,
2134ぎょうざ（外食）,熊本市,12.0,483.0,500.0,17.0,0.97,10.65,0.06
2134ぎょうざ（外食）,熊谷市,0.0,,,,,,
2134ぎょうざ（外食）,甲府市,12.0,467.0,467.0,0.0,0.0,0.0,1.0
2134ぎょうざ（外食）,盛岡市,12.0,410.0,410.0,0.0,0.0,0.0,1.0
2134ぎょうざ（外食）,相模原市,0.0,,,,,,
2134ぎょうざ（外食）,神戸市,12.0,357.0,387.0,30.0,3.31,36.46,0.91
2134ぎょうざ（外食）,福井市,12.0,326.0,329.0,3.0,0.12,1.27,0.23
2134ぎょうざ（外食）,福山市,0.0,,,,,,
2134ぎょうざ（外食）,福岡市,12.0,381.0,382.0,1.0,1.15,12.62,0.23
2134ぎょうざ（外食）,福島市,12.0,330.0,360.0,30.0,3.72,40.88,0.8
2134ぎょうざ（外食）,秋田市,12.0,420.0,427.0,7.0,0.78,8.62,0.67
2134ぎょうざ（外食）,立川市,0.0,,,,,,
2134ぎょうざ（外食）,藤沢市,0.0,,,,,,
2134ぎょうざ（外食）,西宮市,0.0,,,,,,
2134ぎょうざ（外食）,豊橋市,0.0,,,,,,
2134ぎょうざ（外食）,那覇市,12.0,403.0,427.0,24.0,2.52,27.69,0.76
2134ぎょうざ（外食）,郡山市,0.0,,,,,,
2134ぎょうざ（外食）,金沢市,12.0,443.0,447.0,4.0,-0.74,-8.15,0.17
2134ぎょうざ（外食）,長岡市,0.0,,,,,,
2134ぎょうざ（外食）,長崎市,12.0,583.0,583.0,0.0,0.0,0.0,1.0
2134ぎょうざ（外食）,長野市,12.0,457.0,483.0,26.0,1.82,20.0,0.42
2134ぎょうざ（外食）,青森市,12.0,440.0,427.0,-13.0,-1.64,-18.0,0.76
2134ぎょうざ（外食）,静岡市,12.0,444.0,471.0,27.0,2.9,31.85,0.51
2134ぎょうざ（外食）,高松市,12.0,412.0,423.0,11.0,1.04,11.42,0.57
2134ぎょうざ（外食）,高知市,12.0,371.0,431.0,60.0,5.66,62.31,0.57
2134ぎょうざ（外食）,鳥取市,12.0,323.0,413.0,90.0,4.12,45.35,0.54
2134ぎょうざ（外食）,鹿児島市,12.0,300.0,300.0,0.0,0.0,0.0,1.0
